"Takayoshi Watanabe","School of Materials Science","","Assistant Professor","Nonnatural amino acid, Artificial protein","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=628&school=3&p=kekka"
"Taku Mizukami","School of Materials Science","","Assistant Professor","Protein, Molecular Simulation, Data Mining","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=142&school=3&p=kekka"
"Tue Trong Phan","School of Materials Science","","Assistant Professor","","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=651&school=3&p=kekka"
"Hitoshi Suzuki","School of Materials Science","","Research Assistant Professor","Molecular Biology, Biochemistry, RNA","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=487&school=3&p=kekka"
"Seiji Tateyama","School of Materials Science","","Research Lecturer","Polymer Synthesis, Bio-based Polymer, Engineering plastic","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=616&school=3&p=kekka"
"Shungo Kawanishi","","","Professor","Development of Global Education Focusing on Practical and Collaborative Education at All Levels","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=549&syozoku=26&p=kekka"
"William Riley Holden","","","Professor","","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=605&syozoku=26&p=kekka"
"Jean-Christophe Terrillon Georges","","","Associate Professor","Image Processing, Philosophy of Science, Critical Thinking, Scientific and Technical English","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=516&syozoku=26&p=kekka"
"Dubhgan Kyle-Arleas Hinchey","","","Research Lecturer","E-learning, Digital Education, Extensive Reading","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=603&syozoku=26&p=kekka"
"John Blake","","","Research Lecturer","","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=604&syozoku=26&p=kekka"
"Nathaniel Ochieng Ambassah","","","Research Lecturer","","http://www.jaist.ac.jp/profiles/info_e.php?profile_id=606&syozoku=26&p=kekka"
